# DiskPar00 DiskPar01 DiskPar02 DiskPar03 DiskPar04 DiskPar10 DiskPar11 DiskPar12 DiskPar13 DiskPar14 DiskPar20 DiskPar21 DiskPar22 DiskPar23 DiskPar24 DiskPar30 DiskPar31 DiskPar32 DiskPar33 DiskPar34 SphrPar00 SphrPar01 SphrPar02 SphrPar03 SphrPar04 SphrPar05 SphrPar10 SphrPar11 SphrPar12 SphrPar13 SphrPar14 SphrPar15 Usun Vsun Wsun Sigma_maser vR_maser vPhi_maser vZ_maser Stellar_mass mass(R<60) mass(R<100) r200 m200 concentration94 R0 v0 vesc_R0 Kz likelihood N_chain
7.70656e+08 2.71555 0.3 0 0 1.24597e+08 3.82803 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.80569e+10 0.5 0 1.8 0.075 2.1 2.12717e+07 1 1 3 11.6782 0 0.0100621 0.0127117 0.00715794 0.0071084 -0.00297516 -0.00158478 0.00162831 6.79336e+10 4.84024e+11 6.47997e+11 198.077 8.95527e+11 22.0856 8.30126 238.511 555.427 0.00220252 1602.49 7
6.35338e+08 2.67823 0.3 0 0 1.66694e+08 2.9469 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.08847e+11 0.5 0 1.8 0.075 2.1 2.34884e+07 1 1 3 11.4375 0 0.00963118 0.0153452 0.00709674 0.00716473 -0.00295921 -0.00261229 0.000206144 5.94571e+10 4.97542e+11 6.68558e+11 200.68 9.31299e+11 22.9493 8.35089 235.546 558.188 0.0019292 1604.5 7
8.00424e+08 2.52471 0.3 0 0 1.32818e+08 3.34488 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.38446e+10 0.5 0 1.8 0.075 2.1 1.96496e+07 1 1 3 12.0685 0 0.00886375 0.0146827 0.00704014 0.00681626 -0.0052535 -0.00165309 0.00033938 6.17685e+10 4.76021e+11 6.41731e+11 197.837 8.92316e+11 21.4163 8.36855 232.954 547.431 0.00194691 1602.08 11
7.258e+08 2.84816 0.3 0 0 1.42549e+08 3.52594 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.64763e+10 0.5 0 1.8 0.075 2.1 2.20378e+07 1 1 3 10.5733 0 0.0101512 0.0149508 0.00757521 0.00596221 -0.00391172 -0.00171576 -0.000405816 6.87405e+10 4.11827e+11 5.41108e+11 183.481 7.11755e+11 22.3896 8.25672 232.542 519.45 0.00223431 1601.57 1
7.71605e+08 2.61896 0.3 0 0 1.79382e+08 3.22926 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 8.64934e+10 0.5 0 1.8 0.075 2.1 1.78218e+07 1 1 3 13.2595 0 0.00948392 0.0149064 0.00754203 0.00684428 -0.00362473 -0.00177041 0.000844947 6.47181e+10 5.29499e+11 7.23613e+11 208.496 1.04449e+12 20.618 8.24779 238.188 576.348 0.00213999 1601.73 2
7.12304e+08 2.7449 0.3 0 0 1.92622e+08 3.05806 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.93342e+10 0.5 0 1.8 0.075 2.1 1.49681e+07 1 1 3 14.1725 0 0.00975464 0.0130408 0.00491218 0.0090266 -0.00265774 -0.00240162 0.00115492 6.59089e+10 5.18962e+11 7.14092e+11 208.094 1.03846e+12 19.2631 8.17774 235.006 572.005 0.00218488 1597.34 13
7.9519e+08 2.57653 0.3 0 0 2.09585e+08 3.07113 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.06079e+11 0.5 0 1.8 0.075 2.1 1.16401e+07 1 1 3 15.2016 0 0.0103486 0.0139301 0.00604236 0.00659524 -0.00491665 -0.00322921 0.00340833 6.70666e+10 4.78594e+11 6.61717e+11 202.502 9.56829e+11 17.4565 8.22108 229.998 551.378 0.0020814 1598.25 3
9.43772e+08 2.27606 0.3 0 0 1.9829e+08 2.75858 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.34729e+10 0.5 0 1.8 0.075 2.1 6.90569e+06 1 1 3 22.8899 0 0.00869327 0.0128456 0.00704051 0.00703211 -0.00270583 -0.0039023 0.0026447 6.05417e+10 6.46428e+11 9.62734e+11 243.492 1.66348e+12 14.2003 8.06698 228.312 632.795 0.0019411 1604.57 11
9.7923e+08 2.51343 0.3 0 0 1.78193e+08 3.38588 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.08806e+11 0.5 0 1.8 0.075 2.1 4.75476e+06 1 1 3 27.0431 0 0.0100163 0.0135671 0.00779464 0.00690607 -0.0040658 -0.00164542 0.00157392 7.34281e+10 6.40216e+11 9.71476e+11 247.491 1.74689e+12 12.23 8.1212 233.07 638.739 0.00228397 1604.24 4
9.05931e+08 2.62918 0.3 0 0 2.08287e+08 2.98193 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.07397e+11 0.5 0 1.8 0.075 2.1 5.45942e+06 1 1 3 23.0003 0 0.0081945 0.0154485 0.00908556 0.00754035 -0.00206103 0.000711982 -0.00107114 7.2581e+10 5.40391e+11 7.93534e+11 224.136 1.29757e+12 12.928 8.2222 229.214 587.171 0.00220892 1602.24 3
1.02892e+09 2.43241 0.3 0 0 1.72423e+08 3.1149 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 8.74305e+10 0.5 0 1.8 0.075 2.1 4.96149e+06 1 1 3 26.5795 0 0.0110447 0.0131678 0.00652178 0.00678732 -0.00670863 -0.00287455 0.00191966 6.8558e+10 6.39759e+11 9.70868e+11 247.266 1.74212e+12 12.4411 8.07856 230.178 636.656 0.00219296 1602.14 7
8.41582e+08 2.66322 0.3 0 0 1.86662e+08 3.21557 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.09492e+11 0.5 0 1.8 0.075 2.1 7.02364e+06 1 1 3 20.7202 0 0.00876955 0.014276 0.00674637 0.00668004 -0.00391947 -0.00242615 0.00255973 7.14178e+10 5.55499e+11 8.0476e+11 223.732 1.29051e+12 14.2968 8.2405 231.353 592.159 0.00220302 1605.89 5
9.12699e+08 2.43875 0.3 0 0 1.37067e+08 3.26022 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.13528e+10 0.5 0 1.8 0.075 2.1 6.29915e+06 1 1 3 23.8931 0 0.00877763 0.0142759 0.0076927 0.00769521 -0.00409632 -0.00234967 0.00317257 6.34108e+10 6.47248e+11 9.6895e+11 244.912 1.69301e+12 13.6889 8.12301 228.169 634.656 0.00204828 1600.95 15
8.52356e+08 2.53827 0.3 0 0 1.4613e+08 3.11985 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.09737e+11 0.5 0 1.8 0.075 2.1 5.52296e+06 1 1 3 24.341 0 0.00818735 0.0140819 0.00682816 0.00745763 -0.00323468 -0.000795727 0.00121802 6.52494e+10 5.97019e+11 8.92632e+11 236.968 1.53328e+12 12.9877 8.07936 225.002 613.194 0.00208201 1600.63 2
